사업장명,사업장도로명상세주소,법정동주소광역시도코드,법정동주소광역시시군구코드,법정동주소광역시시군구읍면동코드,사업장업종코드,사업장업종코드명,가입자수,당월고지금액,신규취득자수,상실가입자수
(주)나모소프트,서울특별시 서초구 바우뫼로,11,650,102,722000,응용 소프트웨어 개발 및 공급업,6,2419180,0,0
(주)엑시스 소프트웨어 엔지니어링,경기도 용인시 수지구 광교중앙로,41,465,107,722000,응용 소프트웨어 개발 및 공급업,12,5057580,0,0
캡제미니테크놀로지서비스리미티드,서울특별시 강남구 영동대로,11,680,105,722000,응용 소프트웨어 개발 및 공급업,13,7091460,0,6
(주)경일하이텍,경기도 안양시 동안구 학의로,41,173,102,722000,응용 소프트웨어 개발 및 공급업,11,3649340,0,0
(주)엑스지엠,서울특별시 성동구 상원1길,11,200,114,722000,응용 소프트웨어 개발 및 공급업,16,5468880,0,1
주식회사유플러스아이티,서울특별시 영등포구 양평로21길,11,560,129,722000,응용 소프트웨어 개발 및 공급업,402,118625940,13,4
(주)블루테크솔루션,서울특별시 강남구 테헤란로2길,11,680,101,722000,응용 소프트웨어 개발 및 공급업,3,1142160,0,0
엠에스피씨코리아유한회사,경기도 화성시 동탄산단10길,41,590,420,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,13,6025460,0,2
(주)트인시스템즈,서울특별시 강남구 테헤란로28길,11,680,101,722000,응용 소프트웨어 개발 및 공급업,23,9225200,0,0
(주)조이시티,경기도 성남시 분당구 황새울로258번길,41,135,102,724000,데이터베이스 및 온라인 정보 제공업,356,151718880,3,10
주식회사 우광,강원특별자치도 철원군 갈말읍 명성로,51,780,256,722000,응용 소프트웨어 개발 및 공급업,3,587600,0,0
(주)한국법원경매정보,서울특별시 용산구 청파로47길,11,170,110,724000,데이터베이스 및 온라인 정보 제공업,13,2963620,1,1
주식회사스페이스솔루션,경기도 오산시 수목원로,41,370,113,722000,응용 소프트웨어 개발 및 공급업,11,4338120,0,1
(주)아이넷테크,대전광역시 유성구 테크노2로,30,200,144,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,21,7042780,1,0
(주)다조인,서울특별시 금천구 가산디지털2로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,11,3751220,0,0
주식회사 제니스에스티,서울특별시 금천구 벚꽃로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,12,3623620,0,0
갤럭시아머니트리(주),서울특별시 강남구 광평로,11,680,115,722000,응용 소프트웨어 개발 및 공급업,146,57325920,0,3
(주)한빛마이크로시스템,서울특별시 송파구 오금로11길,11,710,111,722000,응용 소프트웨어 개발 및 공급업,38,9713020,2,0
